galaxy,psp_bic,lcdm_bic,diff
CamB,303941023.66642934,303956838.9221744,-15815.255745053291
D512-2,7495743.223222933,7498063.276969423,-2320.053746489808
D564-8,56044404.45419776,56056509.84918155,-12105.394983790815
D631-7,17209092.71822764,17222898.885534354,-13806.16730671376
DDO064,45323573.14959821,45326769.15569912,-3196.006100907922
DDO154,18348202.685116287,18359320.38569918,-11117.700582891703
DDO161,18315262.44041758,18348712.30003194,-33449.85961436108
DDO168,17620370.7672242,17625940.15605735,-5569.388833150268
DDO170,2448145.3246595482,2456716.47500286,-8571.15034331195
ESO079-G014,1717485.7327923425,1720423.4992116166,-2937.766419274034
ESO116-G012,4825656.308790047,4829498.2373726135,-3841.9285825667903
ESO444-G084,13325500.080601342,13327628.81752411,-2128.736922768876
ESO563-G021,316454.7255513023,319006.8600530524,-2552.1345017501153
F561-1,1761265.8922770824,1766696.6064312013,-5430.714154118905
F563-1,1479669.3986437863,1484527.1322495216,-4857.733605735237
F563-V1,3177846.523850369,3182486.5580577194,-4640.034207350574
F563-V2,3462600.6032348685,3463672.4236819493,-1071.8204470807686
F565-V2,1299434.7099500613,1302701.9285923464,-3267.2186422850937
F567-2,1198700.550636658,1201328.3419293377,-2627.791292679729
F568-1,1882019.3582737856,1884025.8123741462,-2006.4541003606282
F568-3,3615767.5824317993,3620945.0612023035,-5177.47877050424
F568-V1,895183.7271429817,897275.4775000749,-2091.750357093173
F571-8,4052224.9816569136,4055443.6961565386,-3218.7144996249117
F571-V1,786312.8511720331,790597.451574545,-4284.600402511889
F574-1,3138522.9454302215,3144245.28548851,-5722.340058288537
F574-2,531261.93765233,533225.2803922698,-1963.342739939806
F579-V1,2008049.7660934734,2010861.9673177002,-2812.2012242267374
F583-1,10887725.338639002,10898564.056623092,-10838.717984089628
F583-4,13524769.451767465,13532284.263555113,-7514.8117876481265
IC2574,19473087.797511518,19506430.454088327,-33342.65657680854
IC4202,408092.9493773799,411110.6227773597,-3017.6733999797725
KK98-251,150981483.78666708,151001785.6649433,-20301.878276228905
NGC0024,15281406.463894049,15285385.755774418,-3979.2918803691864
NGC0055,3463665.456609885,3475703.1041151504,-12037.647505265195
NGC0100,8624610.547533823,8632666.796929142,-8056.249395318329
NGC0247,3004046.806440115,3014853.4900933504,-10806.683653235435
NGC0289,181932.43905403453,191481.22722423993,-9548.7881702054
NGC0300,3708102.4446538733,3715991.8696609475,-7889.42500707414
NGC0801,267896.24679590843,270069.88252515934,-2173.6357292509056
NGC0891,272023.4143538038,273317.1642950093,-1293.7499412054894
NGC1003,1755935.9046860614,1778121.8148217916,-22185.91013573017
NGC1090,1111176.391050385,1117136.2793437198,-5959.888293334749
NGC1705,8168149.0024015,8171372.204460162,-3223.202058661729
NGC2366,56018606.775423214,56036286.15833852,-17679.38291530311
NGC2403,13882310.395502789,13899481.945118088,-17171.54961529933
NGC2683,118678.73748898986,120968.79011930106,-2290.0526303111983
NGC2841,158391.48512147804,162233.36993188105,-3841.8848104030185
NGC2903,1388543.9735200393,1392457.1023431183,-3913.128823078936
NGC2915,5580906.09746917,5591608.595901971,-10702.498432801105
NGC2955,281247.65161698667,282854.5039513149,-1606.8523343282286
NGC2976,75753040.26235437,75757536.84368446,-4496.581330090761
NGC2998,610989.5341515985,613025.2006168569,-2035.6664652584586
NGC3109,29628224.17876239,29644830.944888815,-16606.766126424074
NGC3198,2195099.2719471776,2208842.957718875,-13743.6857716972
NGC3521,1343804.7652712893,1345446.4878459328,-1641.722574643558
NGC3726,193981.20054021836,197001.22377621738,-3020.0232359990187
NGC3741,49486889.85983581,49507586.49457927,-20696.634743459523
NGC3769,494938.06108871184,499889.63476753136,-4951.573678819521
NGC3877,707247.0697995076,708758.6214235331,-1511.551624025451
NGC3893,196722.1301587038,197934.3809368331,-1212.2507781292952
NGC3917,1215994.8070643086,1219996.0352810614,-4001.2282167528756
NGC3949,317171.81854739855,317623.77556781034,-451.95702041179175
NGC3953,82594.85076738721,83226.66935567568,-631.8185882884718
NGC3972,1250569.541152939,1252334.6353535508,-1765.094200611813
NGC3992,19226.71891182435,20463.4667913397,-1236.7478795153474
NGC4010,1500854.8879557562,1503674.4895898774,-2819.601634121267
NGC4013,271636.34232605086,279128.6019709301,-7492.259644879261
NGC4051,277458.5327141791,278393.0833278177,-934.5506136385957
NGC4068,36637826.3036754,36641621.35753545,-3795.05386005342
NGC4085,1029646.0465401763,1030511.4469131291,-865.4003729528049
NGC4088,259877.88814879738,261841.43659603156,-1963.5484472341777
NGC4100,323599.72805055225,327311.230359055,-3711.502308502735
NGC4138,127219.4979902327,128083.95792421042,-864.4599339777196
NGC4157,225174.0165263897,228133.40912730072,-2959.392600911029
NGC4183,1665151.793790399,1674246.7029373536,-9094.909146954538
NGC4214,7964811.008499259,7967431.973909075,-2620.9654098162428
NGC4217,562332.6337259861,564568.3659776741,-2235.732251688023
NGC4389,2171463.1570106903,2172886.2592082173,-1423.1021975269541
NGC4559,2040850.8327974917,2051903.4060781836,-11052.573280691868
NGC5005,341647.6939703444,342219.4985963311,-571.804625986726
NGC5033,265565.813210961,269108.27286541497,-3542.4596544539672
NGC5055,540676.0603507858,546352.9060152164,-5676.845664430526
NGC5371,164628.97088380044,167400.3494762395,-2771.378592439054
NGC5585,29785290.304472372,29795854.19654117,-10563.892068799585
NGC5907,67645.96656283733,71158.92014718293,-3512.953584345596
NGC5985,113702.81522483351,115882.68194512006,-2179.866720286547
NGC6015,2390970.0625137337,2400887.731650133,-9917.669136399403
NGC6195,197226.77733175826,199135.70112757402,-1908.923795815761
NGC6503,1624868.4350639808,1636062.1623971846,-11193.72733320389
NGC6674,27083.616382722023,29740.028041945425,-2656.4116592234022
NGC6789,44063476.20460363,44063754.44257747,-278.23797383904457
NGC6946,2466073.6755354437,2474356.358745336,-8282.683209892362
NGC7331,202624.61776422677,206405.0628755383,-3780.4451113115356
NGC7793,51271587.14273319,51278249.508126505,-6662.365393318236
NGC7814,309134.52294160496,310464.8696580788,-1330.3467164738686
PGC51017,37581266.316925935,37593672.628826745,-12406.311900809407
UGC00128,422339.51063212246,437675.72030210606,-15336.209669983597
UGC00191,6936156.492199304,6939647.554565766,-3491.0623664623126
UGC00634,200189.287381364,202132.05443383433,-1942.767052470328
UGC00731,3735519.0342408586,3743168.464838901,-7649.43059804244
UGC00891,2675364.349638515,2679197.470634711,-3833.120996195823
UGC01230,935207.4882912036,940099.6601564906,-4892.171865287004
UGC01281,80133920.56757982,80144875.77253951,-10955.20495969057
UGC02023,1695306.604622666,1695943.6779076264,-637.0732849603519
UGC02259,1733381.851056334,1735754.0889342262,-2372.2378778920975
UGC02455,16502493.079519955,16507975.2138409,-5482.134320944548
UGC02487,12753.916567443855,14158.643440739925,-1404.7268732960692
UGC02885,60183.014661008776,62640.14444142583,-2457.1297804170536
UGC02916,753767.7627358865,757378.3393185136,-3610.576582627138
UGC02953,2501879.88476041,2509084.926068308,-7205.041307897773
UGC03205,961129.3034383914,965407.1071155196,-4277.803677128162
UGC03546,573149.0256997306,575277.9279375806,-2128.9022378500085
UGC03580,10457948.786276,10471404.000399904,-13455.214123904705
UGC04278,21877963.158279557,21886364.9780088,-8401.819729242474
UGC04305,50493571.70678161,50518587.1064677,-25015.399686090648
UGC04325,2468946.9040089278,2470538.985797328,-1592.081788400188
