SDSS,RA,DEC,z,u,e_u,g,e_g,r,e_r,i,e_i,z_psf,e_z,A_u,logNH,F20cm,SN_F20cm,sep_FIRST,fR0,fR1,logX,SN_X,sep_X,J,e_J,H,e_H,K,e_K,sep_2MASS,M_i,D_gi,Morph,S,mode,utf,Tflag,Lz,Hz,fR,fX,fS,f*,fG,run,MJD_img,MJD_spec,plate,fiber,rerun,camcol,field,obj,Tflag_T,LzT,HzT,fRT,fXT,fST,f*T,fGT,u_PSF,e_u_PSF,g_PSF,e_g_PSF,r_PSF,e_r_PSF,i_PSF,e_i_PSF,z_PSF,e_z_PSF,72,73,74,75,76,77,g_minus_r,classification
000009.26+151754.5,0.038605,15.298476,1.1986,19.921,0.042,19.811,0.036,19.386,0.017,19.165,0.023,19.323,0.069,0.223,20.551,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.085,0.332,0,1,1,1,1048578,1,0,0,0,1,0,0,1739,51814,52251,751,354,40,4,303,24,1048578,1,0,0,0,1,0,0,19.911,0.037,19.77,0.024,19.393,0.018,19.173,0.019,19.353,0.07,211612125330669568,,,,,,0.4250000000000007,quasar
000009.38+135618.4,0.039088,13.938447,2.24,19.218,0.026,18.893,0.022,18.445,0.018,18.331,0.024,18.11,0.033,0.321,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.419,0.428,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52235,750,82,40,1,302,154,2,1,0,0,0,0,0,0,19.242,0.028,18.875,0.016,18.423,0.015,18.313,0.015,18.103,0.025,211330580493631488,,,,,,0.4480000000000004,quasar
000011.41+145545.6,0.047547,14.929353,0.4596,19.637,0.03,19.466,0.024,19.362,0.022,19.193,0.025,19.005,0.047,0.208,20.559,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.728,0.045,0,1,1,1,34603008,0,0,0,0,1,0,0,1739,51814,52235,750,499,40,3,303,43,1048578,1,0,0,0,1,0,0,19.679,0.029,19.454,0.018,19.355,0.015,19.172,0.028,19.043,0.045,211330582242656256,,,,,,0.10400000000000276,quasar
000013.14+141034.6,0.054786,14.176303,0.9491,19.519,0.034,19.281,0.028,19.115,0.016,19.155,0.024,19.071,0.053,0.309,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.568,-0.033,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52235,750,98,40,2,309,51,1048578,1,0,0,0,1,0,0,19.528,0.036,19.297,0.013,19.129,0.027,19.175,0.018,19.102,0.05,211330580560740352,,,,,,0.16600000000000037,quasar
000024.02+152005.4,0.100116,15.33484,0.9885,19.413,0.044,19.183,0.035,18.988,0.015,19.079,0.023,19.133,0.06,0.22,20.553,-1.0,0.0,0.0,0,0,-1.877,2.017,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.706,-0.088,0,1,1,1,134225410,1,0,0,1,0,0,0,1739,51814,52235,750,500,40,4,303,109,134224898,1,0,0,1,0,0,0,19.469,0.04,19.189,0.023,18.985,0.017,19.081,0.018,19.186,0.062,211330582246850560,,,,,,0.19500000000000028,quasar
000026.29+134604.6,0.109578,13.767969,0.7678,19.345,0.03,18.998,0.023,18.922,0.023,19.01,0.022,18.838,0.042,0.297,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.194,-0.069,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52235,750,87,40,1,309,37,1048578,1,0,0,0,1,0,0,19.331,0.026,19.024,0.014,18.946,0.013,19.009,0.033,18.833,0.041,211330580514603008,,,,,,0.07600000000000051,quasar
000053.71+150637.1,0.223831,15.11033,1.4111,19.992,0.042,19.681,0.017,19.29,0.018,19.077,0.021,19.083,0.056,0.219,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.559,0.299,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52251,751,355,40,4,310,228,2,1,0,0,0,0,0,0,19.971,0.041,19.671,0.015,19.282,0.017,19.112,0.024,19.06,0.054,211612125334863872,,,,,,0.3910000000000018,quasar
000104.92+160101.2,0.270513,16.017013,0.4529,19.886,0.044,19.571,0.02,19.256,0.016,18.975,0.021,18.75,0.04,0.191,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.904,0.374,1,1,1,1,0,0,0,0,0,0,0,0,1739,51814,52235,750,576,40,6,304,186,2,1,0,0,0,0,0,0,20.059,0.043,19.577,0.022,19.254,0.018,18.983,0.016,18.736,0.041,211330582565617664,,,,,,0.3150000000000013,quasar
000116.00+141123.0,0.316675,14.189731,0.4037,19.007,0.026,18.682,0.021,18.704,0.016,18.556,0.021,18.156,0.029,0.299,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.089,-0.079,0,1,1,1,135273987,1,1,0,1,1,0,0,2566,52170,52235,750,58,40,2,310,99,135273475,1,1,0,1,1,0,0,19.03,0.026,18.695,0.01,18.706,0.016,18.571,0.019,18.161,0.025,211330580392968192,,,,,,-0.022000000000002018,quasar
000119.64+154828.8,0.331834,15.808002,1.9242,19.661,0.038,19.555,0.019,19.301,0.024,19.016,0.019,18.826,0.044,0.219,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.345,0.273,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52235,750,566,40,6,311,142,1048579,1,1,0,0,1,0,0,19.806,0.038,19.57,0.012,19.297,0.016,18.941,0.024,18.808,0.045,211330582523674624,,,,,,0.25400000000000134,quasar
